contestant_name,profession,state,finish,normalized_finish,gender,age,num_season,birthdate,employment_category,region
Randy Bailey,Wedding Videographer,Missouri,8,0.5555555555555556,M,49,17,1959-03-31,Other,Midwest
Corinne Kaplan,Pharmaceutical Saleswoman,California,7,0.6111111111111112,F,29,17,1979-01-17,Business,West
Crystal Cox,Olympic Gold Medalist,North Carolina,6,0.6666666666666667,F,29,17,1979-03-28,Other,East Coast
Ken Hoang,Professional Gamer,California,5,0.7222222222222222,M,22,17,1985-10-10,Other,West
Matty Whitmore,Personal Trainer,California,4,0.7777777777777778,M,29,17,1978-12-18,Other,West
Sugar Kiper,Pin-Up Model,New York,3,0.8333333333333334,F,29,17,1979-02-22,Other,East Coast
Susie Smith,Hairdresser,Iowa,2,0.8888888888888888,F,47,17,1960-10-24,Other,Midwest
Bob Crowley,Physics Teacher,Maine,1,0.9444444444444444,M,57,17,1951-02-25,Education,East Coast
Carolina Eastwood,Bartender,California,16,0.0,F,26,18,1981-10-27,Hospitality,West
Candace Smith,Attorney,Ohio,15,0.0625,F,31,18,1977-02-01,Law,Midwest
Jerry Sims,U.S. Army Sergeant,South Carolina,14,0.125,M,49,18,1959-05-18,Other,East Coast
Sandy Burgin,Bus Driver,Kentucky,13,0.1875,F,53,18,1955-07-01,Other,South
Spencer Duhm,Student,Florida,12,0.25,M,19,18,1989-12-20,Student,East Coast
Sydney Wheeler,Model,North Carolina,11,0.3125,F,24,18,1984-05-11,Other,East Coast
Joe Dowdle,Real Estate Salesman,Texas,10,0.375,M,26,18,1982-06-29,Business,South
Brendan Synnott,Entrepreneur,New York,9,0.4375,M,30,18,1978-09-28,Business,East Coast
Tyson Apostol,Professional Cyclist,Utah,8,0.5,M,29,18,1979-06-17,Other,West
Sierra Reed,Model,California,7,0.5625,F,23,18,1985-09-29,Other,West
Debbie Beebe,School Principal,Alabama,6,0.625,F,46,18,1962-09-28,Other,South
Coach Wade,Soccer Coach/Musician,Missouri,5,0.6875,M,37,18,1971-09-18,Education,Midwest
Taj Johnson-George,Former Pop Star,Tennessee,4,0.75,F,37,18,1971-04-29,Other,South
Erinn Lobdell,Hairdresser,Wisconsin,3,0.8125,F,26,18,1982-10-21,Other,Midwest
Stephen Fishbach,Corporate Consultant,New York,2,0.875,M,29,18,1979-01-24,Other,East Coast
J.T. Thomas,Cattle Rancher,Alabama,1,0.9375,M,24,18,1984-06-23,Agriculture,South
Marisa Calihan,Student,Ohio,20,0.0,F,26,19,1983-07-26,Student,Midwest
Mike Borassi,Personal Chef,California,19,0.05,M,62,19,1947-03-13,Hospitality,West
Betsy Bolan,Police Officer,New Hampshire,18,0.0999999999999999,F,48,19,1961-03-20,Other,East Coast
Ben Browning,Bar Manager,California,17,0.15,M,28,19,1980-08-28,Other,West
Yasmin Giles,Hairstylist,California,16,0.1999999999999999,F,33,19,1975-08-29,Other,West
Ashley Trainer,Spa Saleswoman,Minnesota,15,0.25,F,22,19,1987-02-27,Business,Midwest
Russell Swan,Attorney,Pennsylvania,14,0.3,M,42,19,1967-02-17,Law,East Coast
Liz Kim,Urban Planner,New York,13,0.35,F,33,19,1975-11-24,Other,East Coast
Erik Cardona,Bartender,California,12,0.4,M,28,19,1981-04-13,Hospitality,West
Kelly Sharbaugh,Hairstylist,California,11,0.4499999999999999,F,25,19,1983-12-26,Other,West
Laura Morett,Office Manager,Oregon,10,0.5,F,39,19,1969-07-30,Other,West
John Fincher,Rocket Scientist,California,9,0.55,M,25,19,1983-08-16,Other,West
Dave Ball,Fitness Instructor,California,8,0.6,M,38,19,1970-08-13,Other,West
Monica Padilla,Law Student,California,7,0.65,F,25,19,1984-07-14,Student,West
Shambo Waters,Saleswoman,Washington,6,0.7,F,45,19,1964-04-25,Business,West
Jaison Robinson,Law Student,Illinois,5,0.75,M,28,19,1980-09-25,Student,Midwest
Brett Clouser,T-shirt Designer,California,4,0.8,M,23,19,1985-12-27,Other,West
Mick Trimming,Doctor,California,3,0.85,M,33,19,1976-05-10,Healthcare,West
Russell Hantz,Oil Company Owner,Texas,2,0.9,M,36,19,1972-10-10,Other,South
Natalie White,Pharmaceutical Saleswoman,Arkansas,1,0.95,F,26,19,1983-04-22,Business,South
Sugar Kiper,Pin-Up Model,California,20,0.0,F,30,20,1979-02-22,Other,West
Stephenie LaGrossa,Pharmaceutical Sales Representative,Pennsylvania,19,0.05,F,29,20,1979-12-06,Business,East Coast
Randy Bailey,Wedding Videographer,Missouri,18,0.0999999999999999,M,50,20,1959-03-31,Other,Midwest
Cirie Fields,Nurse,Connecticut,17,0.15,F,39,20,1970-07-18,Healthcare,East Coast
Tom Westman,Motivational Speaker,New York,16,0.1999999999999999,M,45,20,1964-01-04,Other,East Coast
Tyson Apostol,Former Professional Cyclist,Utah,15,0.25,M,29,20,1979-06-17,Other,West
James Clement,Gravedigger,Louisiana,14,0.3,M,32,20,1977-03-09,Other,South
Rob Mariano,Construction Worker,Florida,13,0.35,M,33,20,1975-12-25,Other,East Coast
Coach Wade,Soccer Coach/Musician,California,12,0.4,M,38,20,1971-09-18,Education,West
Courtney Yates,Waitress,New York,11,0.4499999999999999,F,29,20,1981-03-26,Other,East Coast
J.T. Thomas,Cattle Rancher,Alabama,10,0.5,M,25,20,1984-06-23,Agriculture,South
Amanda Kimmel,Aspiring Designer,California,9,0.55,F,25,20,1984-08-03,Other,West
Candice Cody,Physician,District of Columbia,8,0.6,F,27,20,1982-11-12,Other,East Coast
Danielle DiLorenzo,Medical Sales Representative,Florida,7,0.65,F,28,20,1981-06-03,Business,East Coast
Rupert Boneham,Troubled Teens Mentor,Indiana,6,0.7,M,45,20,1964-01-27,Other,Midwest
Colby Donaldson,Actor,Texas,5,0.75,M,35,20,1974-04-01,Arts,South
Jerri Manthey,Actress,California,4,0.8,F,38,20,1970-09-05,Other,West
Russell Hantz,Oil Company Owner,Texas,3,0.85,M,36,20,1972-10-10,Other,South
Parvati Shallow,Charity Organizer,California,2,0.9,F,27,20,1982-09-21,Other,West
Sandra Diaz-Twine,Office Assistant,North Carolina,1,0.95,F,35,20,1974-07-30,Other,East Coast
Wendy DeSmidt-Kohlhoff,Goat Rancher,Montana,20,0.0,F,48,21,1961-12-13,Agriculture,West
Shannon Elkins,Pest Control Company Owner,Louisiana,19,0.05,M,30,21,1979-12-04,Other,South
Jimmy Johnson,Former NFL Coach,Florida,18,0.0999999999999999,M,67,21,1943-07-16,Education,East Coast
Jimmy Tarantino,Commercial Fisherman,Massachusetts,17,0.15,M,48,21,1962-09-07,Other,East Coast
Tyrone Davis,Firefighter,California,16,0.1999999999999999,M,42,21,1967-09-24,Other,West
Kelly Bruno,Medical Student,North Carolina,15,0.25,F,26,21,1984-03-23,Student,East Coast
Yve Rojas,Homemaker,Missouri,14,0.3,F,41,21,1969-03-09,Other,Midwest
Jill Behm,ER Doctor,Pennsylvania,13,0.35,F,43,21,1967-01-18,Healthcare,East Coast
Alina Wilson,Art Student,California,12,0.4,F,23,21,1987-02-20,Student,West
Marty Piombo,Technology Executive,California,11,0.4499999999999999,M,48,21,1961-11-11,Other,West
Brenda Lowe,Paddleboard Company Owner,Florida,10,0.5,F,27,21,1982-11-03,Other,East Coast
NaOnka Mixon,P.E. Teacher,California,9,0.55,F,27,21,1983-02-17,Education,West
Kelly Shinn,Nursing Student,Arizona,8,0.6,F,20,21,1990-05-05,Student,West
Benry Henry,Club Promoter,California,7,0.65,M,24,21,1986-06-25,Other,West
Jane Bright,Dog Trainer,North Carolina,6,0.7,F,56,21,1953-12-13,Other,East Coast
Dan Lembo,Real Estate Executive,New York,5,0.75,M,63,21,1946-10-07,Business,East Coast
Holly Hoffman,Swim Coach,South Dakota,4,0.8,F,44,21,1966-03-15,Education,Midwest
Sash Lenahan,Real Estate Broker,New York,3,0.85,M,30,21,1979-11-22,Business,East Coast
Chase Rice,Professional Racecar Jackman,North Carolina,2,0.9,M,24,21,1985-09-19,Other,East Coast
Fabio Birza,Student,California,1,0.95,M,21,21,1989-06-12,Student,West
Francesca Hogi,Attorney,District of Columbia,18,0.0,F,36,22,1974-11-03,Law,East Coast
Russell Hantz,Oil Company Owner,Texas,17,0.0555555555555555,M,38,22,1972-10-10,Other,South
Kristina Kell,Law Student,California,16,0.1111111111111111,F,46,22,1964-12-26,Student,West
Krista Klumpp,Pharmaceutical Representative,South Carolina,15,0.1666666666666666,F,25,22,1985-07-27,Other,East Coast
Stephanie Valencia,Waitress,California,14,0.2222222222222222,F,26,22,1985-02-03,Other,West
Sarita White,Visual Effects Producer,California,13,0.2777777777777778,F,36,22,1974-10-02,Other,West
David Murphy,Defense Attorney,California,12,0.3333333333333333,M,31,22,1979-07-16,Law,West
Julie Wolfe,Firefighter,California,11,0.3888888888888888,F,50,22,1960-05-11,Other,West
Steve Wright,Ex-NFL Player,California,10,0.4444444444444444,M,51,22,1959-04-08,Other,West
Ralph Kiser,Farmer,Virginia,9,0.5,M,45,22,1965-10-27,Agriculture,East Coast
Grant Mattos,Ex-NFL Player,California,8,0.5555555555555556,M,29,22,1981-03-12,Other,West
Matt Elrod,Pre-Med Student,Tennessee,7,0.6111111111111112,M,22,22,1988-10-02,Student,South
Mike Chiesl,Iraq War Veteran,California,6,0.6666666666666667,M,31,22,1979-09-15,Other,West
Andrea Boehlke,Student,Wisconsin,5,0.7222222222222222,F,21,22,1989-05-10,Student,Midwest
Ashley Underwood,Nurse,Maine,4,0.7777777777777778,F,25,22,1985-02-08,Healthcare,East Coast
Natalie Tenerelli,Professional Dancer,California,3,0.8333333333333334,F,19,22,1991-05-06,Other,West
Phillip Sheppard,Former Federal Agent?,California,2,0.8888888888888888,M,52,22,1958-03-12,Other,West
Rob Mariano,Construction Worker,Florida,1,0.9444444444444444,M,34,22,1975-12-25,Other,East Coast
Semhar Tadesse,Spoken Word Artist,California,18,0.0,F,24,23,1986-09-12,Arts,West
Mark Caruso,Retired NYPD Detective,New York,17,0.0555555555555555,M,48,23,1963-07-07,Retired,East Coast
Stacey Powell,Mortician,Texas,16,0.1111111111111111,F,44,23,1967-11-21,Other,South
Elyse Umemoto,Dance Team Manager,Nevada,15,0.1666666666666666,F,27,23,1984-05-10,Other,West
Mikayla Wingle,Lingerie Football Player,Florida,14,0.2222222222222222,F,22,23,1989-05-31,Other,East Coast
Christine Shields Markoski,Teacher,New York,13,0.2777777777777778,F,39,23,1971-06-17,Education,East Coast
Jim Rice,Medical Marijuana Dispenser,Colorado,12,0.3333333333333333,M,35,23,1975-09-14,Other,West
Keith Tollefson,Water Treatment Technician,Minnesota,11,0.3888888888888888,M,26,23,1985-10-01,Engineering/Technical,Midwest
Dawn Meehan,English Profressor,Utah,10,0.4444444444444444,F,41,23,1970-06-29,Other,West
Whitney Duncan,Country Music Singer,Tennessee,9,0.5,F,26,23,1984-08-03,Other,South
John Cochran,Harvard Law Student,D.C.,8,0.5555555555555556,M,24,23,1987-01-17,Student,Unknown
Edna Ma,Anesthesiologist,California,7,0.6111111111111112,F,35,23,1975-08-22,Other,West
Brandon Hantz,Oil Tanker Crewman,Texas,6,0.6666666666666667,M,19,23,1991-10-15,Other,South
Rick Nelson,Rancher,Utah,5,0.7222222222222222,M,51,23,1959-10-24,Agriculture,West
Ozzy Lusth,Photographer,California,4,0.7777777777777778,M,30,23,1981-08-23,Other,West
Albert Destrade,Baseball/Dating Coach,Florida,3,0.8333333333333334,M,26,23,1985-03-31,Education,East Coast
Coach Wade,Soccer Coach/Musician,California,2,0.8888888888888888,M,39,23,1971-09-18,Education,West
Sophie Clarke,Medical Student,New York,1,0.9444444444444444,F,22,23,1989-07-10,Student,East Coast
Kourtney Moon,Motorcycle Repairwoman,Texas,18,0.0,F,29,24,1982-02-27,Other,South
Nina Acosta,Retired LAPD Officer,California,17,0.0555555555555555,F,51,24,1960-04-03,Retired,West
Matt Quinlan,Attorney,California,16,0.1111111111111111,M,33,24,1978-04-05,Law,West
Bill Posley,Stand-Up Comedian,California,15,0.1666666666666666,M,28,24,1983-09-28,Other,West
Monica Culpepper,Ex-NFL Player's Wife,Florida,14,0.2222222222222222,F,41,24,1970-06-15,Other,East Coast
Colton Cumbie,Student,Alabama,13,0.2777777777777778,M,21,24,1990-11-22,Student,South
Jonas Otsuji,Sushi Chef,Utah,12,0.3333333333333333,M,37,24,1974-03-25,Hospitality,West
Michael Jefferson,Banker,Washington,11,0.3888888888888888,M,30,24,1981-08-29,Other,West
Jay Byars,Model,South Carolina,10,0.4444444444444444,M,25,24,1986-11-05,Other,East Coast
Leif Manson,Phlebotomist,California,9,0.5,M,27,24,1984-02-01,Other,West
Troyzan Robertson,Swimsuit Photographer,Florida,8,0.5555555555555556,M,50,24,1961-07-30,Other,East Coast
Kat Edorsson,Timeshare Representative,Florida,7,0.6111111111111112,F,22,24,1989-06-22,Other,East Coast
Tarzan Smith,Plastic Surgeon,Texas,6,0.6666666666666667,M,64,24,1947-12-12,Healthcare,South
Alicia Rosa,Special Education Teacher,Illinois,5,0.7222222222222222,F,25,24,1987-01-11,Education,Midwest
Christina Cha,Career Consultant,California,4,0.7777777777777778,F,29,24,1982-09-26,Other,West
Chelsea Meissner,Medical Saleswoman,South Carolina,3,0.8333333333333334,F,26,24,1985-06-13,Business,East Coast
Sabrina Thompson,High School Teacher,New York,2,0.8888888888888888,F,33,24,1978-03-06,Education,East Coast
Kim Spradlin-Wolfe,Bridal Shop Owner,Texas,1,0.9444444444444444,F,29,24,1983-01-30,Other,South
Zane Knight,Tire Repairman,Virginia,18,0.0,M,28,25,1984-02-20,Other,East Coast
Roxy Morris,Seminary Student,New York,17,0.0555555555555555,F,28,25,1984-06-03,Student,East Coast
Angie Layton,Model/Student,Utah,16,0.1111111111111111,F,20,25,1991-10-08,Student,West
Russell Swan,Attorney,Pennsylvania,15,0.1666666666666666,M,45,25,1967-02-17,Law,East Coast
Dana Lambert,Cosmetologist,North Carolina,14,0.2222222222222222,F,32,25,1979-12-13,Other,East Coast
Sarah Dawson,Insurance Saleswoman,Maryland,13,0.2777777777777778,F,28,25,1983-11-15,Business,East Coast
Katie Hanson,Former Miss Delaware,Delaware,12,0.3333333333333333,F,22,25,1989-11-29,Other,East Coast
R.C. Saint-Amour,Investment Banker,New York,11,0.3888888888888888,F,27,25,1985-05-10,Other,East Coast
Jeff Kent,Former MLB Player,Texas,10,0.4444444444444444,M,44,25,1968-03-07,Other,South
Artis Silvester,Computer Engineer,Louisiana,9,0.5,M,53,25,1959-04-18,Engineering/Technical,South
Pete Yurkowski,Engineer Graduate/Model,New Jersey,8,0.5555555555555556,M,24,25,1988-03-03,Engineering/Technical,East Coast
Jonathan Penner,Writer,California,7,0.6111111111111112,M,50,25,1962-03-05,Other,West
Carter Williams,Track Coach,Kansas,6,0.6666666666666667,M,24,25,1987-05-26,Education,Midwest
Abi-Maria Gomes,Business Student,California,5,0.7222222222222222,F,32,25,1979-10-21,Student,West
Malcolm Freberg,Bartender,California,4,0.7777777777777778,M,25,25,1987-05-07,Hospitality,West
Lisa Whelchel,Former TV Teen Star,Texas,2,0.8888888888888888,F,49,25,1963-05-29,Other,South
Michael Skupin,Professional Speaker,Michigan,2,0.8888888888888888,M,50,25,1962-01-29,Other,Midwest
Denise Stapley,Sex Therapist,Iowa,1,0.9444444444444444,F,41,25,1971-01-01,Healthcare,Midwest
Francesca Hogi,Attorney,New York,20,0.0,F,38,26,1974-11-03,Law,East Coast
Allie Pohevitz,Bartender,New York,19,0.05,F,25,26,1987-12-24,Hospitality,East Coast
Hope Driskill,Pre-Law Student,Missouri,18,0.0999999999999999,F,23,26,1989-07-06,Student,Midwest
Shamar Thomas,Iraq War Veteran,New York,17,0.15,M,27,26,1985-09-27,Other,East Coast
Laura Alexander,Administrative Officer,Washington DC,16,0.1999999999999999,F,23,26,1989-09-12,Other,Unknown
Brandon Hantz,Chemical Disposal,Texas,15,0.25,M,21,26,1991-10-15,Other,South
Matt Bischoff,BMX Bike Salesman,Ohio,14,0.3,M,38,26,1974-04-04,Business,Midwest
Julia Landauer,Racecar Driver,California,13,0.35,F,21,26,1991-11-12,Other,West
Corinne Kaplan,Pharmaceutical Sales,California,12,0.4,F,33,26,1979-01-17,Business,West
Michael Snow,Event Planner,New York,11,0.4499999999999999,M,44,26,1968-08-30,Other,East Coast
Phillip Sheppard,Software Sales,California,10,0.5,M,54,26,1958-03-12,Business,West
Malcolm Freberg,Bartender,California,9,0.55,M,26,26,1987-05-07,Hospitality,West
Reynold Toepfer,Real Estate Salesman,California,8,0.6,M,30,26,1982-10-06,Business,West
Andrea Boehlke,Entertainment Host and Writer,New York,7,0.65,F,23,26,1989-05-10,Other,East Coast
Brenda Lowe,Paddleboard Company Owner,Florida,6,0.7,F,30,26,1982-11-03,Other,East Coast
Erik Reichenbach,Comic Book Artist,California,5,0.75,M,27,26,1985-11-27,Arts,West
Eddie Fox,Fireman/EMT,New Jersey,4,0.8,M,23,26,1989-04-15,Other,East Coast
Sherri Biethman,Fast Food Franchisee,Idaho,2,0.9,F,41,26,1971-09-09,Other,West
Dawn Meehan,English professor,Utah,2,0.9,F,42,26,1970-06-29,Education,West
John Cochran,Harvard Law Student,Washington DC,1,0.95,M,25,26,1987-01-17,Student,Unknown
Rupert Boneham,Troubled Teens Mentor,Indiana,20,0.0,M,49,27,1964-01-27,Other,Midwest
Colton Cumbie,Student Teacher,Alabama,19,0.05,M,22,27,1990-11-22,Education,South
Rachel Foulger,Cocktail Waitress/Graphic Designer,Utah,18,0.0999999999999999,F,33,27,1979-07-28,Other,West
Marissa Peterson,Student,North Carolina,17,0.15,F,21,27,1991-09-25,Student,East Coast
Candice Cody,Physician,Washington DC,16,0.1999999999999999,F,30,27,1982-11-12,Other,Unknown
Brad Culpepper,Attorney/Retired NFL Player,Florida,15,0.25,M,44,27,1969-05-08,Law,East Coast
Kat Edorsson,Full-Time Student/Sales,Florida,14,0.3,F,23,27,1989-06-22,Business,East Coast
John Cody,Physician/Army Orthopedic Surgery Resident,Washington DC,13,0.35,M,30,27,1983-05-12,Other,Unknown
Laura Boneham,Merchandiser,Indiana,12,0.4,F,44,27,1968-08-29,Other,Midwest
Aras Baskauskas,Musician,California,11,0.4499999999999999,M,31,27,1981-09-26,Arts,West
Vytas Baskauskas,Yoga Instructor/Math Professor,California,10,0.5,M,33,27,1979-12-08,Education,West
Caleb Bankston,Post Office Manager/Farmer,Alabama,9,0.55,M,26,27,1987-03-26,Agriculture,South
Katie Collins,Hedge Fund Support,New York,8,0.6,F,25,27,1987-06-27,Other,East Coast
Hayden Moss,Real Estate,Arizona,7,0.65,M,27,27,1986-05-27,Business,West
Laura Morett,Fitness Instructor,Oregon,6,0.7,F,43,27,1969-07-30,Other,West
Ciera Eastin,Cosmetology Student,Oregon,5,0.75,F,24,27,1989-03-05,Student,West
Tina Wesson,Motivational Speaker,Tennessee,4,0.8,F,52,27,1960-12-26,Other,South
Gervase Peterson,Cigar Lounge Owner,New Jersey,3,0.85,M,43,27,1969-11-02,Other,East Coast
Monica Culpepper,Homemaker,Florida,2,0.9,F,42,27,1970-06-15,Other,East Coast
Tyson Apostol,Former Pro Cyclist/Shop Manager,Utah,1,0.95,M,34,27,1979-06-17,Other,West
David Samson,Miami Marlins President,Florida,18,0.0,M,45,28,1968-02-26,Other,East Coast
Garrett Adelstein,Professional Poker Player,California,17,0.0555555555555555,M,27,28,1986-05-16,Other,West
Brice Johnston,Social Worker,Pennsylvania,16,0.1111111111111111,M,27,28,1986-02-20,Other,East Coast
J'Tia Taylor,Nuclear Engineer,Illinois,15,0.1666666666666666,F,31,28,1981-09-01,Engineering/Technical,Midwest
Cliff Robinson,Former NBA All-Star,New Jersey,14,0.2222222222222222,M,46,28,1966-12-16,Other,East Coast
Lindsey Ogle,Hairstylist,Indiana,13,0.2777777777777778,F,29,28,1983-09-04,Other,Midwest
Alexis Maxwell,Student,Illinois,12,0.3333333333333333,F,21,28,1992-03-17,Student,Midwest
Sarah Lacina,Police Officer,Iowa,11,0.3888888888888888,F,29,28,1984-07-09,Other,Midwest
Morgan McLeod,Ex-NFL Cheerleader,California,10,0.4444444444444444,F,21,28,1992-07-09,Other,West
LJ McKanas,Horse Trainer,Massachusetts,9,0.5,M,34,28,1979-01-08,Other,East Coast
Jeremiah Wood,Male Model,North Carolina,8,0.5555555555555556,M,34,28,1979-06-15,Other,East Coast
Jefra Bland,Miss Kentucky Teen USA,Kentucky,7,0.6111111111111112,F,22,28,1990-07-02,Other,South
Tasha Fox,Accountant,Missouri,6,0.6666666666666667,F,37,28,1977-01-03,Other,Midwest
Trish Hegarty,Pilates Teacher,Massachusetts,5,0.7222222222222222,F,48,28,1965-10-09,Education,East Coast
Spencer Bledsoe,Economics Student,Illinois,4,0.7777777777777778,M,21,28,1992-06-12,Student,Midwest
Kass McQuillen,Attorney,California,3,0.8333333333333334,F,41,28,1971-11-08,Law,West
Woo Hwang,Martial Arts Instructor,California,2,0.8888888888888888,M,29,28,1984-03-16,Other,West
Tony Vlachos,Police Officer,New Jersey,1,0.9444444444444444,M,39,28,1973-09-10,Other,East Coast
Nadiya Anderson,Crossfit Coach/Project Coordinator,New Jersey,18,0.0,F,28,29,1986-04-11,Education,East Coast
Val Collins,Police Officer,Massachusetts,17,0.0555555555555555,F,35,29,1978-11-08,Other,East Coast
John Rocker,Former MLB Player,Georgia,16,0.1111111111111111,M,39,29,1974-10-17,Other,East Coast
Drew Christy,Traveling Sales Representative,Florida,15,0.1666666666666666,M,25,29,1989-05-18,Business,East Coast
Kelley Wentworth,Marketing Manager,Washington,14,0.2222222222222222,F,28,29,1986-06-07,Other,West
Dale Wentworth,Farmer,Washington,13,0.2777777777777778,M,55,29,1959-03-07,Agriculture,West
Julie McGee,Model/Spray Tan Business Owner,Georgia,12,0.3333333333333333,F,34,29,1980-01-24,Other,East Coast
Josh Canfield,Singer/Actor/Writer,New York,11,0.3888888888888888,M,32,29,1981-07-01,Arts,East Coast
Jeremy Collins,Firefighter,Massachusetts,10,0.4444444444444444,M,36,29,1978-04-16,Other,East Coast
Wes Nale,Firefighter,Louisiana,9,0.5,M,24,29,1990-06-19,Other,South
Reed Kelly,Broadway Performer/Model/Aerialist,New York,8,0.5555555555555556,M,31,29,1982-09-05,Arts,East Coast
Alec Christy,Student,Florida,7,0.6111111111111112,M,22,29,1991-09-07,Student,East Coast
Jon Misch,Financial Assistant,Michigan,6,0.6666666666666667,M,26,29,1988-03-29,Other,Midwest
Baylor Wilson,Student,Tennessee,5,0.7222222222222222,F,20,29,1994-01-25,Student,South
Keith Nale,Firefighter,Louisiana,4,0.7777777777777778,M,53,29,1960-08-16,Other,South
Missy Payne,Competitive Cheerleading Gym Owner,Texas,3,0.8333333333333334,F,47,29,1967-06-10,Other,South
Jaclyn Schultz,Media Buyer,Michigan,2,0.8888888888888888,F,25,29,1988-08-16,Other,Midwest
Natalie Anderson,Crossfit Coach/Physical Therapy Student,New Jersey,1,0.9444444444444444,F,28,29,1986-04-11,Education,East Coast
So Kim,Retail Buyer,California,18,0.0,F,31,30,1983-01-13,Other,West
Vince Sly,Coconut Vendor,California,17,0.0555555555555555,M,32,30,1982-02-16,Other,West
Nina Poersch,Hearing Advocate,California,16,0.1111111111111111,F,51,30,1963-01-17,Other,West
Lindsey Cascaddan,Hairdresser,Florida,15,0.1666666666666666,F,24,30,1989-08-24,Other,East Coast
Max Dawson,Media Consultant,California,14,0.2222222222222222,M,37,30,1977-03-31,Other,West
Joaquin Souberbielle,Marketing Director,New York,13,0.2777777777777778,M,27,30,1986-08-16,Other,East Coast
Kelly Remington,State Trooper,New York,12,0.3333333333333333,F,44,30,1970-04-27,Other,East Coast
Hali Ford,Law Student,California,11,0.3888888888888888,F,25,30,1989-07-20,Student,West
Joe Anglim,Jewelry Designer,Arizona,10,0.4444444444444444,M,25,30,1988-09-30,Other,West
Jenn Brown,Sailing Instructor,California,9,0.5,F,22,30,1992-01-27,Other,West
Shirin Oskooi,Yahoo! Executive,California,8,0.5555555555555556,F,31,30,1983-02-25,Other,West
Tyler Fredrickson,Ex-Talent Agent Assistant,California,7,0.6111111111111112,M,33,30,1981-02-26,Other,West
Dan Foley,Postal Worker,Maine,6,0.6666666666666667,M,47,30,1967-02-05,Other,East Coast
Sierra Dawn Thomas,Barrel Racer,Utah,5,0.7222222222222222,F,27,30,1986-12-18,Other,West
Rodney Lavoie,General Contractor,Massachusetts,4,0.7777777777777778,F,24,30,1989-09-02,Arts,East Coast
Will Sims II,YouTube Sensation,California,2,0.8888888888888888,M,41,30,1972-08-13,Other,West
Carolyn Rivera,Corporate Executive,Florida,2,0.8888888888888888,F,52,30,1961-10-07,Other,East Coast
Mike Holloway,Oil Driller,Texas,1,0.9444444444444444,M,38,30,1976-07-25,Other,South
Vytas Baskauskas,Yoga Instructor/Math Professor,California,20,0.0,M,35,31,1979-12-08,Education,West
Shirin Oskooi,Yahoo! Executive,California,19,0.05,F,32,31,1983-02-25,Other,West
Peih-Gee Law,Jeweler,California,18,0.0999999999999999,F,37,31,1978-04-07,Other,West
Jeff Varner,Internet Projects Manager,North Carolina,17,0.15,M,49,31,1966-04-16,Other,East Coast
Monica Padilla,Law Student,New York,16,0.1999999999999999,F,30,31,1984-07-14,Student,East Coast
Terry Deitz,Pilot,Connecticut,15,0.25,M,55,31,1959-10-10,Other,East Coast
Woo Hwang,Martial Arts Instructor,California,14,0.3,M,31,31,1984-03-16,Other,West
Kass McQuillen,Attorney,California,13,0.35,F,42,31,1971-11-08,Law,West
Andrew Savage,Attorney,California,12,0.4,M,51,31,1963-07-29,Law,West
Kelly Wiglesworth,River Guide,North Carolina,11,0.4499999999999999,F,37,31,1977-06-24,Other,East Coast
Ciera Eastin,Cosmetology Student,Oregon,10,0.5,F,26,31,1989-03-05,Student,West
Stephen Fishbach,Corporate Consultant,New York,9,0.55,M,36,31,1979-01-24,Other,East Coast
Joe Anglim,Jewelry Designer,Arizona,8,0.6,M,25,31,1988-09-30,Other,West
Abi-Maria Gomes,Business Student,California,7,0.65,F,35,31,1979-10-21,Student,West
Kimmi Kappenberg,Bartender,Texas,6,0.7,F,42,31,1972-11-11,Hospitality,South
Keith Nale,Firefighter,Louisiana,5,0.75,M,54,31,1960-08-16,Other,South
Kelley Wentworth,Marketing Manager,Washington,4,0.8,F,29,31,1986-06-07,Other,West
Spencer Bledsoe,Economics Student,Illinois,2,0.9,M,22,31,1992-06-12,Student,Midwest
Tasha Fox,Accountant,Missouri,2,0.9,F,39,31,1977-01-03,Other,Midwest
Jeremy Collins,Firefighter,Massachusetts,1,0.95,M,37,31,1978-04-16,Other,East Coast
Darnell Hamilton,Postal Worker,Illinois,18,0.0,M,27,32,1988-02-08,Other,Midwest
Jennifer Lanzetti,Contractor,Utah,17,0.0555555555555555,F,38,32,1977-07-14,Arts,West
Liz Markham,Quantitative Strategist,New York,16,0.1111111111111111,F,27,32,1988-08-14,Other,East Coast
Caleb Reynolds,Army Veteran,Kentucky,15,0.1666666666666666,M,28,32,1987-11-27,Other,South
Alecia Holden,Real Estate Agent,Texas,14,0.2222222222222222,F,24,32,1991-08-03,Business,South
Anna Khait,Professional Poker Player,New York,13,0.2777777777777778,F,26,32,1988-09-17,Other,East Coast
Peter Baggenstos,ER Doctor,Minnesota,12,0.3333333333333333,M,34,32,1980-07-21,Healthcare,Midwest
Neal Gottlieb,Ice Cream Entrepreneur,California,11,0.3888888888888888,M,38,32,1977-02-03,Business,West
Nick Maiorano,Personal Trainer,California,10,0.4444444444444444,M,30,32,1985-01-28,Other,West
Debbie Wanner,Chemist,Pennsylvania,9,0.5,F,49,32,1965-11-21,Other,East Coast
Scot Pollard,Former NBA Player,Indiana,8,0.5555555555555556,M,40,32,1975-02-12,Other,Midwest
